ID,LABEL,Datatype,Enumeration
ParticipantIdentifier,Participant Identifier,string,
EnrollmentDt,Enrollment Date,date,
startdt,Shifted Visit Day,string,
CigarrettesPerDay,Cigarrettes Per Day,string,
ColorBlind,Are You Color Blind,boolean,
CurrentConditionsOther,Current Conditions - Other,string,
DataReport,Data Reported,string,
EducationGrade,Education Grade,string,
Eligibility,Eligibility String,string,
EmploymentStatusOther,Employment Status - Other,string,
EmploymentStatusStudent,Employment Status - Student,string,
FurtherInfoProvided,Further Info Provided?,boolean,
Housing,Housing,string,
HousingOther,Housing - Other,string,
InPersonDelivery,In Person Delivery of kit,boolean,
LongForm,Long Form?,string,
NasalSwab1,Nasal Swab 1,string,
NasalSwab2,Nasal Swab 2,string,
NoFurtherInfoProvidedRation,No Further Info Provided Rationale,string,
OverallHealth,Overall Health,string,
ResultCommunicationDate,Result Communication Date,date,
se_date_1,Date of social engagement baseline survey,date,
se_spending_time_hh_members_1,Spending time with household members,boolean,
se_video_chats_1,Video chats,boolean,
se_home_exercise_1,Home exercise,boolean,
se_working_from_home_1,Working from home,boolean,
se_curbside_or_takeout_food_1,Curbside or takeout food,boolean,
se_grocery_delivery_1,Grocery Delivery,boolean,
se_walks_with_strangers_1,Walks with people you don’t live with,boolean,
se_doctor_appointment_1,Doctor appointment,boolean,
se_sledding_1,Sledding,boolean,
se_ice_skating_outdoors_1,Ice skating outdoors,boolean,
se_driving_through_mult_states_1,Driving through multiple states,boolean,
se_hire_a_house_cleaner_1,Hire a house cleaner,boolean,
se_instore_getting_groceries_1,In-store for getting groceries,boolean,
se_stayed_in_a_hotel_1,Stayed in a hotel,boolean,
se_ice_skated_indoors_1,Ice skated indoors,boolean,
se_visited_outlet_malls_1,Visited outlet malls,boolean,
se_went_to_an_office_1,Went to an office,boolean,
se_used_public_restroom_1,Used public restroom,boolean,
se_visited_indoor_malls_1,Visited indoor malls,boolean,
se_attended_sleepover_1,Attended sleepover,boolean,
se_dined_at_a_rest_outdoor_1,"Dined at a restaurant, outdoor",boolean,
se_attended_school_1,Attended school,boolean,
se_sat_in_an_airplane_1,Sat in an airplane,boolean,
se_visited_hair_salon_barber_1,Visited hair salon or barbershop,boolean,
se_used_public_transit_1,Used public transit,boolean,
se_played_basketball_indoors_1,Played basketball indoors,boolean,
se_movie_theaters_1,Movie theaters,boolean,
se_christmas_caroling_1,Christmas caroling,boolean,
se_church_1,Church,boolean,
se_indoor_gym_1,Indoor gym,boolean,
se_indoor_restaurant_1,Indoor restaurant,boolean,
se_family_reunion_1,Family reunion,boolean,
se_multihh_celebration_1,Multi-household holiday celebration,boolean,
se_bars_1,Bars,boolean,
se_buffets_1,Buffets,boolean,
se_casinos_1,Casinos,boolean,
se_engagement_none_1,None of the above,boolean,
se_date_2,Date of social engagement second survey,date,
se_spending_time_hh_members_2,Spending time with household members,boolean,
se_video_chats_2,Video chats,boolean,
se_home_exercise_2,Home exercise,boolean,
se_working_from_home_2,Working from home,boolean,
se_curbside_or_takeout_food_2,Curbside or takeout food,boolean,
se_grocery_delivery_2,Grocery Delivery,boolean,
se_walks_with_strangers_2,Walks with people you don’t live with,boolean,
se_doctor_appointment_2,Doctor appointment,boolean,
se_sledding_2,Sledding,boolean,
se_ice_skating_outdoors_2,Ice skating outdoors,boolean,
se_driving_through_mult_states_2,Driving through multiple states,boolean,
se_hire_a_house_cleaner_2,Hire a house cleaner,boolean,
se_instore_getting_groceries_2,In-store for getting groceries,boolean,
se_stayed_in_a_hotel_2,Stayed in a hotel,boolean,
se_ice_skated_indoors_2,Ice skated indoors,boolean,
se_visited_outlet_malls_2,Visited outlet malls,boolean,
se_went_to_an_office_2,Went to an office,boolean,
se_used_public_restroom_2,Used public restroom,boolean,
se_visited_indoor_malls_2,Visited indoor malls,boolean,
se_attended_sleepover_2,Attended sleepover,boolean,
se_dined_at_a_rest_outdoor_2,"Dined at a restaurant, outdoor",boolean,
se_attended_school_2,Attended school,boolean,
se_sat_in_an_airplane_2,Sat in an airplane,boolean,
se_visited_hair_salon_barber_2,Visited hair salon or barbershop,boolean,
se_used_public_transit_2,Used public transit,boolean,
se_played_basketball_indoors_2,Played basketball indoors,boolean,
se_movie_theaters_2,Movie theaters,boolean,
se_christmas_caroling_2,Christmas caroling,boolean,
se_church_2,Church,boolean,
se_indoor_gym_2,Indoor gym,boolean,
se_indoor_restaurant_2,Indoor restaurant,boolean,
se_family_reunion_2,Family reunion,boolean,
se_multihh_celebration_2,Multi-household holiday celebration,boolean,
se_bars_2,Bars,boolean,
se_buffets_2,Buffets,boolean,
se_casinos_2,Casinos,boolean,
se_engagement_none_2,None of the above,boolean,
se_date_3,Date of social engagement third survey,date,
se_spending_time_hh_members_3,Spending time with household members,boolean,
se_video_chats_3,Video chats,boolean,
se_home_exercise_3,Home exercise,boolean,
se_working_from_home_3,Working from home,boolean,
se_curbside_or_takeout_food_3,Curbside or takeout food,boolean,
se_grocery_delivery_3,Grocery Delivery,boolean,
se_walks_with_strangers_3,Walks with people you don’t live with,boolean,
se_doctor_appointment_3,Doctor appointment,boolean,
se_sledding_3,Sledding,boolean,
se_ice_skating_outdoors_3,Ice skating outdoors,boolean,
se_driving_through_mult_states_3,Driving through multiple states,boolean,
se_hire_a_house_cleaner_3,Hire a house cleaner,boolean,
se_instore_getting_groceries_3,In-store for getting groceries,boolean,
se_stayed_in_a_hotel_3,Stayed in a hotel,boolean,
se_ice_skated_indoors_3,Ice skated indoors,boolean,
se_visited_outlet_malls_3,Visited outlet malls,boolean,
se_went_to_an_office_3,Went to an office,boolean,
se_used_public_restroom_3,Used public restroom,boolean,
se_visited_indoor_malls_3,Visited indoor malls,boolean,
se_attended_sleepover_3,Attended sleepover,boolean,
se_dined_at_a_rest_outdoor_3,"Dined at a restaurant, outdoor",boolean,
se_attended_school_3,Attended school,boolean,
se_sat_in_an_airplane_3,Sat in an airplane,boolean,
se_visited_hair_salon_barber_3,Visited hair salon or barbershop,boolean,
se_used_public_transit_3,Used public transit,boolean,
se_played_basketball_indoors_3,Played basketball indoors,boolean,
