ID,LABEL,Datatype,Enumeration
user_id,User ID,decimal,
research_test,Research Test Assigned,integer,
no_symptoms,None of the above,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
days_since_symptom_start,How many days ago did the first symptom start?,decimal,
scratchy_throat,A scratchy throat,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
sore_throat,A painful sore throat,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
cough,A cough (worse than usual),integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
runny_nose,A runny nose,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
fever_chills,Symptoms of fever or chills,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
high_temp,A temperature greater than 100.4 °F,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
muscle_aches,Muscle aches (worse than usual),integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
nausea_vomiting_diarrhea,"Nausea, vomiting or diarrhea",integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
shortness_of_breath,Shortness of breath,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
unable_to_taste_or_smell,Unable to taste or smell,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
red_eyes,Red or painful eyes,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
age_at_registration,Age,decimal,
sex,Gender,integer,"""1""=[Male]|""2""=[Female]|""88""=[Prefer Not To Answer]"
race_black,Black,boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]"
race_white,White,boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]"
race_asian,Asian,boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]"
race_pacisl,Pacific Islander,boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]"
race_amind,American Indian,boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]"
race_other,Race_Other,boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]"
race_dk,Race_Unknown,boolean,""".""=[Unchecked]|""0""=[Unchecked]|""1""=[Checked]"
ethnicity,Ethnicity,integer,"""0""=[No]|""1""=[Yes: Mexican, Mexican American Or Chicano]|""2""=[Yes: Puerto Rican]|""3""=[Yes: Cuban]|""77""=[Don't Know]|""88""=[Prefer Not To Answer]|""99""=[Yes: Other Or Mixed Hispanic, Latino Or Spanish Origin]"
sore_throat_2,A sore throat,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
congestion,Congestion,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
muscle_body_aches,Muscle or body aches (worse than usual if you have baseline muscle aches),integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
difficult_breathing,Difficulty breathing,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
fatigue,Fatigue,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
headache,Headache,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
hbp,High blood pressure or hypertension (except that occurred during pregnancy and did not last after pregnancy)?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
diabetes,Diabetes? Do not include pre-diabetes.,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
coronary_artery_disease,Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
heart_attack,A heart attack (myocardial infarction)?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
chf,"Congestive Heart failure (CHF, Heart Failure)?",integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
stroke,Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
copd,"COPD (emphysema, chronic bronchitis, obstructive pulmonary disease)?",integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
asthma,"Asthma, to the point that you use inhalers daily or have been to the hospital for your asthma?",integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
cancer,Cancer (including leukemia or lymphoma) undergoing active treatment?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
immunodeficiency,Immunodeficiency (NOT including HIV)?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
hiv,Chronic HIV infection?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
anemia,Anemia or other blood disorder (do not include leukemia or lymphoma)?,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
ckd,Decreased kidney (renal) function or kidney (renal) failure?,integer,"""0""=[No]|""1""=[Yes, But Not On Dialysis]|""2""=[Yes And On Dialysis]|""3""=[Yes, I've Had A Kidney Transplant And My Kidney Function Is Now Normal]|""77""=[Don't Know]"
premature,History of premature birth (being born before 37 weeks of pregnancy),integer,"""0""=[No]|""1""=[Yes, Between 32 - 37 Weeks]|""2""=[Yes, Between 28-32 Weeks]|""3""=[Yes, Less Than 28 Weeks]|""4""=[Yes, But Not Sure How Many Weeks]|""77""=[Dont Know]"
chd,CHD,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
cf,CF,integer,"""0""=[No]|""1""=[Yes]|""77""=[Dont Know]|""88""=[Refused/Na]|""99""=[Other]"
